run,Z,A,kind,rc,err_bytes
Fe56_ideal6,26,56,ideal6,0,0
Fe56_ideal7,26,56,ideal7,0,0
Fe56_ideal8,26,56,ideal8,0,0
Fe57_base,26,57,base,0,0
Fe57_rsig,26,57,rsig,0,0
Fe57_ideal6,26,57,ideal6,0,0
Fe57_ideal7,26,57,ideal7,0,0
Fe57_ideal8,26,57,ideal8,0,0
Fe58_base,26,58,base,0,0
Fe58_rsig,26,58,rsig,0,0
Fe58_ideal6,26,58,ideal6,0,0
Fe58_ideal7,26,58,ideal7,0,0
Fe58_ideal8,26,58,ideal8,0,0
Co59_base,27,59,base,0,0
Co59_rsig,27,59,rsig,0,0
Co59_ideal6,27,59,ideal6,0,0
Co59_ideal7,27,59,ideal7,0,0
Co59_ideal8,27,59,ideal8,0,0
Ni58_base,28,58,base,0,0
Ni58_rsig,28,58,rsig,0,0
Ni58_ideal6,28,58,ideal6,0,0
Ni58_ideal7,28,58,ideal7,0,0
Ni58_ideal8,28,58,ideal8,0,0
Ni60_base,28,60,base,0,0
Ni60_rsig,28,60,rsig,0,0
Ni60_ideal6,28,60,ideal6,0,0
Ni60_ideal7,28,60,ideal7,0,0
Ni60_ideal8,28,60,ideal8,0,0
Ni61_base,28,61,base,0,0
Ni61_rsig,28,61,rsig,0,0
Ni61_ideal6,28,61,ideal6,0,0
Ni61_ideal7,28,61,ideal7,0,0
Ni61_ideal8,28,61,ideal8,0,0
Ni62_base,28,62,base,0,0
Ni62_rsig,28,62,rsig,0,0
Ni62_ideal6,28,62,ideal6,0,0
Ni62_ideal7,28,62,ideal7,0,0
Ni62_ideal8,28,62,ideal8,0,0
Ni64_base,28,64,base,0,0
Ni64_rsig,28,64,rsig,0,0
Ni64_ideal6,28,64,ideal6,0,0
Ni64_ideal7,28,64,ideal7,0,0
Ni64_ideal8,28,64,ideal8,0,0
Cu63_base,29,63,base,0,0
Cu63_rsig,29,63,rsig,0,0
Cu63_r101,29,63,r101,0,0
Cu63_ideal6,29,63,ideal6,0,0
Cu63_ideal7,29,63,ideal7,0,0
Cu63_ideal8,29,63,ideal8,0,0
Cu65_base,29,65,base,0,0
